samplenumber,waterbodyname,beachname,beachaccessnumber,collectiondate,parameters,cellcount
M121722,Moose Lake,Franchere Bay Provincial Park,9622238,13-Aug-12,Anabaena circinalis (Rabenhorst ex Bornet et Flahault),17520
M121722,Moose Lake,Franchere Bay Provincial Park,9622238,13-Aug-12,Anabaena cylindrica (Lemmermann),9982
M121722,Moose Lake,Franchere Bay Provincial Park,9622238,13-Aug-12,Anabaena flos-aquae var. intermedia f. spiroides (Woronichin),2394
M121722,Moose Lake,Franchere Bay Provincial Park,9622238,13-Aug-12,Anabaena spiroides (Klebahn),10797
M121722,Moose Lake,Franchere Bay Provincial Park,9622238,13-Aug-12,Aphanizomenon flos-aquae (Ralfs ex Bornet et Flahault),2648
M121722,Moose Lake,Franchere Bay Provincial Park,9622238,13-Aug-12,Filamentous cyanobacteria,3209
M121722,Moose Lake,Franchere Bay Provincial Park,9622238,13-Aug-12,Gloeotrichia (J.Agardh ex Bornet & Flahault),104405
M121722,Moose Lake,Franchere Bay Provincial Park,9622238,13-Aug-12,Microcystis aeruginosa (Kützing) Kützing,104405
M121722,Moose Lake,Franchere Bay Provincial Park,9622238,13-Aug-12,Microcystis viridis (A. Braun) Lemmermann,76394
M121722,Moose Lake,Franchere Bay Provincial Park,9622238,13-Aug-12,Total cyanobacterial cell count,331754
M121719,Moose Lake,Franchere Bay Provincial Park,9622238,20-Aug-12,Anabaena circinalis (Rabenhorst ex Bornet et Flahault),15330
M121719,Moose Lake,Franchere Bay Provincial Park,9622238,20-Aug-12,Anabaena cylindrica (Lemmermann),4787
M121719,Moose Lake,Franchere Bay Provincial Park,9622238,20-Aug-12,Anabaena flos-aquae var. intermedia f. spiroides (Woronichin),9218
M121719,Moose Lake,Franchere Bay Provincial Park,9622238,20-Aug-12,Anabaena spiroides (Klebahn),3972
M121719,Moose Lake,Franchere Bay Provincial Park,9622238,20-Aug-12,Aphanizomenon flos-aquae (Ralfs ex Bornet et Flahault),4635
